source_file,plot_nr,n_trees_gt,Species,Nr_of_trees_field,Conifer,Broadleaved,Broadleaved_prop,shannon_index,berger_parker,clarkevans,complexity_score,dbh_mean,dbh_sd,dbh_median,dbh_p10,dbh_p90,h_mean,h_sd,h_median,h_p10,h_p90,aboveground_points,tree_points_aboveground,cai_mean_over_occupied,cai_max,mean_shared_fraction,median_shared_fraction,mean_n_competitors
Rem_Piensk_2016_1700702.laz,1700702,46,1.0,40.0,40.0,0.0,0.0,0.0,0.847826086956522,1.192520792418795,-0.292558532,224.525,43.35481962,223.5,184.7,276.7,20.8225,1.178762389,20.75,19.19,22.11,1997934,1227425,1.1137020361534844,3.0,0.0093397749461484,0.0066671093115098,2.3846153846153846
Rem_Milicz_2015_2506201.laz,2506201,36,1.0,32.0,32.0,0.0,0.0,0.0,0.888888888888889,1.073564614237808,-0.294670817,251.8125,42.49663175,239.0,207.1,326.9,24.134375,1.532783547,23.9,22.23,26.29,2569456,2295369,1.0665370307744335,3.0,0.0061317254573801,0.0040148909424944,2.055555555555556
Rem_Herby_2016_1702406.laz,1702406,40,2.0,32.0,25.0,7.0,0.21875,0.525321319515595,0.625,1.193015949906594,-0.155789901,203.84375,55.02146758,199.5,141.4,269.4,20.3375,1.946502239,20.45,18.3,22.55,2120009,1424767,1.0886798520662486,3.0,0.0118595529576292,0.0043421623968736,1.74468085106383
Rem_Milicz_2015_2204901.laz,2204901,38,1.0,33.0,33.0,0.0,0.0,0.0,0.868421052631579,1.228117762863059,-0.360901527,263.3939394,43.44172778,261.0,216.4,288.8,22.35454545,1.389489769,22.4,20.38,24.08,2621953,2101455,1.0740638386071577,3.0,0.008868743316438,0.0090882785310219,2.260869565217391
Rem_Gorlice_2015_5905203.laz,5905203,8,4.0,16.0,7.0,9.0,0.5625,0.376770161256437,0.875,0.895021720782453,0.306608825,239.875,117.7018125,219.5,77.5,381.5,19.4125,8.462141179,19.9,6.85,28.3,3665366,3166652,1.064951149029861,2.0,0.0004314031012536,0.0002456820739787,1.0
Rem_Piensk_2016_1902802.laz,1902802,58,3.0,45.0,20.0,25.0,0.555555556,0.890808793971051,0.379310344827586,1.139839292116329,0.287800867,167.4888889,57.31516625,161.0,93.4,254.8,17.15111111,2.82984277,17.9,12.94,19.74,3031663,2501379,1.1522462562396008,4.0,0.0166920258293833,0.0059036150075638,1.6129032258064515
Rem_Herby_2017_1102006.laz,1102006,34,3.0,26.0,20.0,6.0,0.230769231,0.70016118405654,0.588235294117647,1.025572435179368,0.077637934,214.8076923,59.5375641,222.5,145.5,278.5,19.66153846,3.576487318,20.6,17.75,22.5,3657181,2704595,1.1661486770264595,3.0,0.0183044645471023,0.0079785080468301,2.1578947368421053
Rem_Milicz_2015_4302601.laz,4302601,25,1.0,19.0,19.0,0.0,0.0,0.0,0.76,1.297415522724185,-0.176858422,303.0526316,48.225712,301.0,238.2,360.8,27.55263158,1.35292622,27.7,26.48,29.1,2957180,2645871,1.0124761042358386,2.0,0.0009123837754705,0.0006328538327099,0.6428571428571429
Rem_Herby_2017_2503606.laz,2503606,48,2.0,43.0,8.0,35.0,0.813953488,0.45704453303756,0.708333333333333,0.9075327878717436,0.409773466,235.6976744,73.80493431,241.0,145.4,325.6,22.25348837,4.268564431,23.7,15.92,26.36,3112252,2388907,1.235705530319417,4.0,0.0063449348066472,0.0021898381917371,1.76
Rem_Piensk_2016_3203502.laz,3203502,24,2.0,29.0,23.0,6.0,0.206896552,0.0,0.958333333333333,1.166929289435821,-0.078962313,251.2758621,95.46536266,275.0,93.6,361.0,20.01034483,5.054583834,22.0,11.32,23.98,2566795,2110421,1.0786917387042154,3.0,0.0097193443482273,0.0026385224274406,1.84
Rem_Herby_2016_2502406.laz,2502406,22,2.0,24.0,24.0,0.0,0.0,0.410116318288409,0.818181818181818,1.040428033967801,0.01218189,254.0,98.54197958,280.0,90.2,355.6,19.9625,6.233835619,22.6,9.39,24.55,4118089,3786613,1.1328757299457022,3.0,0.0181220837940693,0.01184449858205,2.272727272727273
Rem_Piensk_2016_1602102.laz,1602102,36,2.0,34.0,33.0,1.0,0.029411765,0.0,0.916666666666667,1.181532275947095,-0.234106659,259.9411765,48.53735904,267.5,205.4,312.1,21.59705882,2.8193579,21.95,19.46,24.3,1914720,1605591,1.0885433195810854,3.0,0.0090062074394107,0.0062391780062129,2.0
Rem_Piensk_2016_2802402.laz,2802402,26,2.0,22.0,19.0,3.0,0.136363636,0.398307113805284,0.730769230769231,1.187465317030351,-0.061064485,280.5454545,53.33070881,266.5,224.5,337.4,23.14545455,1.344380641,23.2,22.01,24.4,2635912,2426794,1.1006490967388751,3.0,0.0045410503738806,0.0032879286049788,1.870967741935484
Rem_Gorlice_2015_6204103.laz,6204103,19,2.0,31.0,30.0,1.0,0.032258065,1.03739232462091,0.578947368421053,0.6836360347022675,-0.148870054,177.6129032,40.12453731,172.0,128.0,237.0,16.97096774,5.303721558,18.3,11.1,21.6,1854511,1386922,1.1687575184739647,4.0,0.009269350168089,0.0002811357885858,0.8571428571428571
Rem_Herby_2016_5901206.laz,5901206,34,4.0,18.0,14.0,4.0,0.222222222,0.566085738959629,0.588235294117647,0.9898107589398004,0.078634181,206.6666667,67.1626647,210.5,126.4,280.0,15.65,3.780017118,16.85,9.07,19.14,3160294,2543719,1.0782764811490126,3.0,0.0186625063637804,0.0017921146953405,1.3142857142857145
Rem_Herby_2017_4102706.laz,4102706,41,2.0,43.0,43.0,0.0,0.0,0.0,0.902439024390244,0.9109116840258592,-0.080183667,210.1162791,55.54072264,215.0,146.2,274.8,20.69767442,4.766474607,22.0,17.76,24.14,3003636,2570401,1.1232127434987045,3.0,0.0121212153891304,0.0074349442379182,2.097560975609756
Rem_Piensk_2016_3100602.laz,3100602,68,1.0,53.0,53.0,0.0,0.0,0.0,0.764705882352941,1.118780067998744,-0.258139013,185.9056604,41.77009611,180.0,139.6,238.2,18.39622642,1.355751603,18.5,16.7,19.88,2112858,1615473,1.102383716959224,3.0,0.0152659376008405,0.0114480253472444,2.421052631578948
Rem_Katrynka_2016_6302005.laz,6302005,34,4.0,27.0,24.0,3.0,0.111111111,0.154076103671029,0.794117647058823,0.9411802615952176,0.52194835,278.5185185,144.6495421,338.0,76.6,406.4,19.84074074,8.373229285,23.2,7.02,27.86,3868130,3181175,1.069801736850729,3.0,0.0126402249389084,0.0008410428931875,0.7428571428571429
Rem_Piensk_2016_2502602.laz,2502602,60,3.0,46.0,14.0,32.0,0.695652174,0.679497407835936,0.533333333333333,1.058508225356307,0.478933027,178.4565217,58.51408435,169.0,117.0,250.0,20.2,4.190836565,21.6,13.2,23.4,3101212,1848777,1.1261838638467565,3.0,0.0214762368615801,0.0088523672549172,1.7272727272727273
Rem_Herby_2017_3601406.laz,3601406,25,4.0,21.0,19.0,2.0,0.095238095,1.10588987902476,0.36,1.055231831469307,0.360402036,287.5714286,119.7240876,281.0,189.0,374.0,24.62857143,5.59822676,26.3,22.7,27.5,2836142,2634883,1.175859375,3.0,0.0116294363626302,0.0088130774697938,2.2222222222222223
Rem_Milicz_2015_4307201.laz,4307201,46,3.0,33.0,27.0,6.0,0.181818182,0.589869161838712,0.58695652173913,1.028060701255933,0.229666717,254.2121212,68.11881053,251.0,161.8,361.4,22.81818182,4.194747798,23.8,20.36,25.58,2294055,1952785,1.173875864034775,4.0,0.0105516593506939,0.0012981891354728,1.0416666666666667
Rem_Piensk_2016_2504302.laz,2504302,54,2.0,35.0,0.0,35.0,1.0,0.0,0.592592592592593,0.8221752081235459,0.332118745,138.8285714,37.33747976,143.0,89.2,183.6,15.09714286,3.031257331,16.5,10.0,17.6,4361622,3731355,1.156552779194289,3.0,0.0128074935326833,0.008792965627498,1.5789473684210529
Rem_Piensk_2016_1802502.laz,1802502,57,2.0,48.0,48.0,0.0,0.0,0.233791658706459,0.789473684210526,1.144271350383304,0.114085285,219.8958333,56.35270372,230.5,147.8,289.2,23.36041667,4.304166195,24.4,20.75,26.33,2480131,2118748,1.1293369187381124,4.0,0.021030334023912,0.0133093525179856,3.0476190476190474
Rem_Milicz_2015_3404601.laz,3404601,37,1.0,32.0,32.0,0.0,0.0,0.0,0.864864864864865,1.258904627241872,-0.320490256,259.6875,48.14054525,255.0,203.5,333.2,22.621875,1.326585327,22.55,20.9,24.0,2805387,2288106,1.065188953488372,3.0,0.0050364444531557,0.0028812047542989,1.6842105263157894
Rem_Piensk_2016_3103402.laz,3103402,47,1.0,40.0,40.0,0.0,0.0,0.0,0.829787234042553,1.14103327681663,-0.086440794,254.625,59.15372737,243.0,196.7,344.5,22.885,2.512690865,23.25,20.88,25.25,3777607,2689588,1.1296761316077522,3.0,0.0122345053549333,0.0096618357487922,2.5283018867924527
Rem_Piensk_2016_0601402.laz,601402,30,1.0,24.0,24.0,0.0,0.0,0.0,0.766666666666667,0.9972004213653568,-0.38088408,282.6666667,42.12885685,288.5,245.0,333.8,23.89166667,1.235671501,23.9,22.3,25.54,2327211,1584153,1.0760693641618495,3.0,0.0108354760520498,0.0085610800131708,2.303030303030303
Rem_Katrynka_2016_4301405.laz,4301405,14,2.0,9.0,9.0,0.0,0.0,0.529706199057654,0.5,0.9878359107996608,-0.07873549,453.8888889,90.51304387,467.0,389.4,532.2,33.14444444,4.291593851,34.2,28.68,36.22,3046750,2704808,1.0825116279069766,4.0,0.0049462428785516,0.0022453561951418,1.1764705882352942
Rem_Piensk_2016_1301202.laz,1301202,46,2.0,36.0,35.0,1.0,0.027777778,0.126930545341402,0.760869565217391,1.190387355935886,-0.052063683,240.0833333,38.98745219,234.5,196.5,284.0,20.46666667,3.156670941,21.15,19.2,22.4,3354422,2743271,1.132005159810807,3.0,0.0105249939681241,0.005420054200542,1.8867924528301887
Rem_Herby_2016_2302606.laz,2302606,24,4.0,28.0,18.0,10.0,0.357142857,0.962456216779642,0.541666666666667,1.069299949201392,0.450167461,274.8928571,104.3002572,318.5,120.8,375.9,20.64285714,5.675119746,23.95,12.5,25.93,3470014,2922014,1.3282436236458244,3.0,0.0076592314643005,0.004250797024442,1.6
Rem_Herby_2016_6606306.laz,6606306,45,2.0,27.0,24.0,3.0,0.111111111,0.0,0.822222222222222,1.029249997844438,0.028523449,287.4444444,58.77815746,289.0,219.0,345.0,23.77777778,3.57473327,24.6,21.3,26.44,3422180,2951495,1.0976001284212216,3.0,0.0076303572042973,0.0061601642710472,1.7959183673469388
Rem_Katrynka_2016_5902605.laz,5902605,17,1.0,30.0,0.0,30.0,1.0,0.244930026794635,0.823529411764706,0.9718706497925872,0.48927336,211.6333333,98.5902294,218.0,92.8,325.2,19.42333333,6.953723058,22.75,9.63,26.51,1841076,1666493,1.070856043603719,3.0,0.0058316116196046,0.0032414910858995,0.9473684210526316
Rem_Herby_2016_6508806.laz,6508806,38,3.0,21.0,1.0,20.0,0.952380952,0.370802358089488,0.736842105263158,1.061867535999181,0.510442847,289.047619,140.5295258,239.0,150.0,494.0,21.66190476,6.917259298,22.0,13.0,30.5,3235303,2557957,1.120094131936537,4.0,0.0041003424962205,0.0026068338315142,1.8
Rem_Herby_2016_2003206.laz,2003206,74,1.0,62.0,62.0,0.0,0.0,0.0,0.837837837837838,1.145558608222086,-0.174730143,184.9193548,45.35589624,179.0,129.3,245.9,18.99677419,2.11628872,19.4,16.22,21.29,1774960,689998,1.172773038735841,3.0,0.0206376135693374,0.0145086914296316,2.41025641025641
Rem_Herby_2016_6505806.laz,6505806,26,2.0,16.0,16.0,0.0,0.0,0.0,0.730769230769231,0.9219808759892127,-0.098422495,250.5625,162.2573958,190.5,102.5,491.0,18.2875,7.37065126,17.95,9.7,28.25,3432975,2976546,1.0677215708780847,3.0,0.0058284800573815,0.0033992603521451,1.8
Rem_Piensk_2016_1401302.laz,1401302,89,1.0,70.0,70.0,0.0,0.0,0.0,0.786516853932584,1.164518195728717,-0.160482685,154.8285714,27.01044963,151.0,121.8,183.6,16.45285714,0.948487954,16.5,15.28,17.62,2132885,888059,1.079808459696728,3.0,0.0151516553808446,0.0081664555630715,1.9318181818181817
Rem_Piensk_2016_2604602.laz,2604602,35,6.0,42.0,5.0,37.0,0.880952381,1.29110976523851,0.457142857142857,0.9388231860124334,0.691883549,168.2380952,67.37583323,155.0,89.4,271.0,15.58095238,6.041209623,16.3,6.44,22.67,3366116,2279724,1.1991978609625669,4.0,0.00509365391985,0.0024291609191568,1.105263157894737
Rem_Herby_2016_6706006.laz,6706006,28,2.0,48.0,21.0,27.0,0.5625,0.0,0.75,1.227459677975764,0.425153365,239.5,115.5904362,247.5,86.5,397.3,20.11458333,6.915723361,21.8,10.74,27.23,2454803,1603994,1.0669558811492184,3.0,0.0164721012328244,0.0143334481302041,2.4
Rem_Piensk_2016_3100502.laz,3100502,84,2.0,69.0,68.0,1.0,0.014492754,0.0757510850034151,0.785714285714286,1.200204569715397,-0.054121978,160.884058,34.79965189,155.0,119.0,193.8,16.65072464,1.095528772,16.8,15.36,17.92,3413478,3064892,1.1300712896953986,4.0,0.0232191873836731,0.0198019801980198,3.154639175257732
Rem_Herby_2016_5000506.laz,5000506,28,3.0,26.0,22.0,4.0,0.153846154,0.600166073159646,0.642857142857143,0.9510762799146812,0.054590716,221.8461538,68.22298282,220.0,139.0,307.5,20.56538462,4.023723878,21.8,15.9,23.7,1760932,1481066,1.0986507014565277,4.0,0.0034573894960079,0.0014872044022282,1.588235294117647
Rem_Piensk_2016_3203002.laz,3203002,46,3.0,37.0,36.0,1.0,0.027027027,0.247750827451536,0.760869565217391,1.15445647152712,0.060944328,245.8648649,65.85386269,241.0,144.6,324.6,23.15135135,3.839388089,24.1,18.76,26.32,2608923,2411843,1.1281374839828144,4.0,0.0049131764703044,0.0020057816857938,1.04
Rem_Piensk_2016_2700402.laz,2700402,85,2.0,65.0,65.0,0.0,0.0,0.0794870032030371,0.752941176470588,1.204615210010777,0.204097444,186.7538462,46.94645579,185.0,126.0,245.8,19.76923077,2.4688638,20.1,16.74,22.18,4802135,2497477,1.1436986212699851,3.0,0.0130550925535912,0.0100908173562058,2.673684210526316
Rem_Piensk_2016_2202902.laz,2202902,25,3.0,44.0,43.0,1.0,0.022727273,0.0,0.84,0.943505213514202,0.327637468,211.2954545,104.2667821,231.5,86.3,343.3,17.65,8.466362993,22.25,6.13,26.27,2560662,1872888,1.1103109081327946,3.0,0.0071017972164821,0.0038859747986486,2.2857142857142856
Rem_Herby_2017_2803006.laz,2803006,34,2.0,27.0,27.0,0.0,0.0,0.607693423870957,0.529411764705882,0.8595885426702956,0.250669164,271.3333333,106.4012724,295.0,110.2,385.0,23.2037037,7.347499914,26.8,10.64,28.8,1689432,1577481,1.2396532875214743,4.0,0.0222508672608421,0.0048684157560481,1.55
Rem_Suprasl_2015_1602604.laz,1602604,28,3.0,38.0,32.0,6.0,0.157894737,0.173205206749177,0.821428571428571,0.8949851358042581,0.69041302,240.9736842,110.1319815,264.5,89.8,374.4,22.90789474,9.528063289,28.45,9.08,31.56,2797079,2070976,1.0575939319103898,3.0,0.002786268877802,0.0015754791244233,1.2666666666666666
Rem_Katrynka_2016_6102605.laz,6102605,52,4.0,21.0,12.0,9.0,0.428571429,0.0,0.807692307692308,0.9939094136531648,0.206405499,251.9047619,158.1669702,205.0,88.0,497.0,20.63333333,8.685236516,20.2,8.3,31.0,1642515,1395957,1.1160326993660328,3.0,0.01266574200949,0.0077850478613837,2.111111111111111
Rem_Piensk_2016_2903502.laz,2903502,23,4.0,24.0,13.0,11.0,0.458333333,0.854806284951481,0.565217391304348,0.9257898157797236,0.197059354,257.125,146.0647005,292.0,82.0,453.0,21.23333333,9.873621716,27.25,8.41,30.67,2138691,1847037,1.1849004382255708,3.0,0.0018531104400853,0.0008612303185377,1.5
Rem_Milicz_2015_4206701.laz,4206701,51,4.0,45.0,44.0,1.0,0.022222222,0.220352331161548,0.784313725490196,1.036127921878226,0.219395264,242.9111111,67.66791311,243.0,174.4,296.0,23.20444444,3.729181945,23.9,21.64,25.46,2252403,1805425,1.0871508379888268,3.0,0.0089613596521734,0.0076476472964353,1.8888888888888888
Rem_Gorlice_2015_8004803.laz,8004803,20,3.0,11.0,5.0,6.0,0.545454545,0.46341355882643,0.7,0.9760107128520676,0.617166222,293.1818182,175.9555729,203.0,134.0,464.0,18.24545455,7.812472545,13.9,10.7,27.1,3024096,2502164,1.1757332459446177,3.0,0.0162363401514414,0.0149679678849901,2.9
Rem_Herby_2016_6105906.laz,6105906,32,5.0,20.0,0.0,20.0,1.0,0.0,0.8125,0.9772429937341848,0.264089472,196.95,55.05927428,188.0,154.0,239.5,11.405,6.025251687,11.0,2.82,18.63,2644401,2211740,1.0899890789952675,3.0,0.0145148184675307,0.0134368583162217,2.526315789473684
Rem_Milicz_2015_2705901.laz,2705901,34,1.0,27.0,27.0,0.0,0.0,0.0,0.794117647058823,1.04222188389075,-0.349588263,299.3703704,40.97855738,293.0,256.4,353.4,23.7037037,0.824845665,23.7,22.5,24.84,2121105,1635914,1.1129408535748593,3.0,0.0133526496021327,0.0112157918349035,2.5945945945945947
Rem_Piensk_2016_2202402.laz,2202402,74,3.0,66.0,39.0,27.0,0.409090909,0.747719446541002,0.5,1.068779972484087,0.369820357,162.7272727,42.12528766,161.5,106.5,222.0,17.84545455,1.993001742,18.2,15.2,19.95,4392660,3677454,1.179469608716508,4.0,0.0216265809608143,0.012312116379102,2.292682926829268
Rem_Milicz_2015_2604401.laz,2604401,32,1.0,21.0,21.0,0.0,0.0,0.0,0.65625,1.15972701005089,-0.159541347,316.6666667,57.39192742,307.0,243.0,393.0,27.32857143,1.634057177,27.7,24.9,29.0,2868169,2477269,1.111437551243509,3.0,0.0079034228779449,0.0012956313271427,1.1176470588235294
Rem_Milicz_2015_2606301.laz,2606301,25,2.0,22.0,20.0,2.0,0.090909091,0.191444081957717,0.8,1.040474428169008,0.108543378,331.8181818,103.2434185,320.5,254.1,461.1,27.59545455,6.103822165,29.6,25.46,31.2,3246651,2585894,1.1504810583283225,3.0,0.0148195430149023,0.0011723329425556,0.9629629629629628
Rem_Piensk_2016_1804502.laz,1804502,16,5.0,29.0,4.0,25.0,0.862068966,0.830471712436292,0.5625,0.8815846804718918,0.903200526,189.4482759,127.8876701,120.0,75.0,391.6,14.67241379,5.774197319,12.1,7.74,22.12,3386528,3017313,1.0996461700296452,3.0,0.0035909593502435,0.0022485946283572,1.5294117647058822
Rem_Herby_2016_6003406.laz,6003406,20,3.0,41.0,1.0,40.0,0.975609756,1.06991734181638,0.35,0.6436303232962102,0.562980101,190.1463415,96.57602212,171.0,86.0,327.0,17.71463415,5.629900575,18.0,9.8,24.9,2911576,2379120,1.292227074235808,3.0,0.0066873387370831,0.0017006802721088,1.2
Rem_Milicz_2015_3806801.laz,3806801,35,2.0,37.0,37.0,0.0,0.0,0.677494404448707,0.571428571428571,1.090311806223774,0.142343466,246.7297297,95.21019105,242.0,111.0,351.2,22.12702703,6.819891195,24.6,10.56,28.4,3010313,2684208,1.238095238095238,3.0,0.0054653277659264,0.0021892281219487,1.5555555555555556
Rem_Milicz_2015_2806501.laz,2806501,39,3.0,33.0,30.0,3.0,0.090909091,0.759547391474863,0.615384615384615,1.135969185639916,-0.024741668,248.8484848,40.74702536,253.0,195.0,285.8,23.86363636,1.523322475,24.1,22.4,25.2,2325062,1651659,1.1354188986500964,3.0,0.0115879359305065,0.008573482030194,2.238095238095238
Rem_Katrynka_2016_5501805.laz,5501805,29,3.0,42.0,39.0,3.0,0.071428571,0.0,0.689655172413793,0.7610587687340107,0.035068011,233.7857143,136.2452122,164.5,86.4,381.4,20.15,10.04150533,17.0,8.47,31.19,3081450,2423337,1.0622464898595945,3.0,0.0101630640308741,0.006043956043956,1.935483870967742
Rem_Milicz_2015_2906401.laz,2906401,42,1.0,35.0,35.0,0.0,0.0,0.0,0.833333333333333,1.070251601980944,-0.314023459,257.3714286,54.32640227,247.0,195.6,338.2,22.00571429,1.342066637,22.4,20.42,23.42,2162277,1439972,1.1131075953897918,3.0,0.0165828095797165,0.0141065830721003,2.883720930232558
Rem_Milicz_2015_3204501.laz,3204501,91,2.0,68.0,67.0,1.0,0.014705882,0.0766488007761842,0.736263736263736,1.185729457103102,0.093565105,185.6470588,43.16534151,189.5,132.1,243.2,19.90882353,2.2511513,20.45,17.38,22.03,2502863,1973765,1.2394759716875698,4.0,0.0178364542915421,0.0163106445454502,3.0638297872340425
Rem_Herby_2016_2402406.laz,2402406,24,3.0,22.0,21.0,1.0,0.045454545,0.612869452461949,0.666666666666667,1.165298418526256,0.173408342,272.8636364,104.8128925,300.0,89.8,356.9,21.21363636,7.802947883,25.5,7.52,26.7,1754100,1500064,1.1938490956895864,3.0,0.0099906622264156,0.0050722897765276,2.0
Rem_Piensk_2016_0801702.laz,801702,37,3.0,33.0,25.0,8.0,0.242424242,0.83183170772933,0.594594594594595,1.029164724097411,0.094580138,281.3939394,71.74256904,259.0,215.4,360.4,25.31212121,1.700323053,25.4,23.36,27.3,3571897,3217068,1.145360824742268,3.0,0.0078411068470653,0.0065217391304347,2.097560975609756
Rem_Piensk_2016_1701502.laz,1701502,29,3.0,27.0,24.0,3.0,0.111111111,0.603797414115175,0.758620689655172,1.137116062950839,0.066499854,243.2962963,79.64914158,256.0,118.4,342.6,17.92962963,4.273965445,19.4,12.84,21.14,2970189,1997999,1.145974416854778,4.0,0.0194342865690236,0.0130767332839871,2.8
Rem_Gorlice_2015_5805203.laz,5805203,9,3.0,24.0,24.0,0.0,0.0,0.529706199057654,0.777777777777778,1.19379590690751,-0.003938709,270.8333333,56.6750207,291.0,207.6,326.7,24.35416667,3.509115975,25.35,23.4,26.54,1430079,724205,1.0766700173626975,3.0,0.0039651005180997,0.0010244301296196,1.8
Rem_Herby_2016_4404106.laz,4404106,27,4.0,27.0,14.0,13.0,0.481481481,0.97619005003976,0.444444444444444,1.013046166346066,0.328133712,223.6296296,57.24921776,226.0,161.0,282.8,20.66666667,3.646494629,21.4,17.78,23.2,3655212,3449283,1.2031635731919172,4.0,0.0074919188950704,0.0056426332288401,1.542857142857143
Rem_Milicz_2015_2905401.laz,2905401,59,1.0,44.0,44.0,0.0,0.0,0.0,0.745762711864407,1.128469156699697,-0.288842591,202.75,37.34074712,198.5,164.0,246.7,20.05227273,1.124047635,19.95,18.7,21.41,2720978,2301953,1.1264942257040589,3.0,0.019751915790833,0.0155770894847049,2.677419354838709
Rem_Piensk_2016_2801802.laz,2801802,29,4.0,22.0,21.0,1.0,0.045454545,0.981941600924019,0.448275862068966,0.9259690240258924,0.187060771,235.8636364,80.17617236,257.5,108.1,315.2,20.60454545,6.941214198,23.65,7.44,25.49,1960415,1791267,1.1982658442835434,3.0,0.007580227771116,0.0024536532170119,1.3793103448275863
Rem_Piensk_2016_1503502.laz,1503502,31,6.0,26.0,1.0,25.0,0.961538462,1.32135597602817,0.32258064516129,1.039434447576902,0.613198424,204.4230769,107.8892666,189.0,80.5,359.5,18.74230769,7.14261426,21.25,9.9,26.25,2491452,1888512,1.33579172505347,4.0,0.0015817782897661,0.0004092661203764,0.7777777777777778
Rem_Gorlice_2015_4704303.laz,4704303,18,3.0,16.0,9.0,7.0,0.4375,0.882310924515076,0.388888888888889,0.8479269578592817,0.425451093,311.1875,125.8852487,322.5,169.5,457.0,17.75,9.214770751,21.5,4.5,26.9,2180522,1967406,1.18952981095492,3.0,0.0194717297911247,0.0064258807888322,1.619047619047619
Rem_Milicz_2015_2406101.laz,2406101,43,1.0,29.0,29.0,0.0,0.0,0.0,0.674418604651163,1.032544935525325,-0.367995349,235.7586207,42.22190966,236.0,187.8,280.2,23.12413793,1.150358693,23.1,22.28,24.52,2581244,2399729,1.1060571943256023,3.0,0.0137607189147552,0.0088809946714031,2.2222222222222223
Rem_Katrynka_2016_5801605.laz,5801605,88,7.0,34.0,4.0,30.0,0.882352941,0.0,0.829545454545455,1.161733979145886,1.078592624,175.9117647,85.19367157,171.0,80.3,292.0,16.84411765,6.669841267,14.95,9.43,25.2,2152945,1001097,1.098947530152877,3.0,0.0100608825785421,0.005181347150259,1.6631578947368422
